Sentence,Image1,Image2,Item,Group
Semana_passada depois_de quebrar a_travessa ela varreu o_tapete.,Image05_A.png,Image05_B.png,5DSMC,C
Ela esquentou o_lanche e_só_assim João arrumou a_mesa.,Image20_A.png,Image20_B.png,D8,C
Terça-feira depois_de olhar o_presente ela passou o_secador.,Image12_B.png,Image06_B.png,6DSMU,C
Ela organizou a_estante e_em_seguida descansou na_cama.,Image21_B.png,Image21_A.png,D9,C
Quando ela bebeu refrigerante ela colocou a_lata no_lixo.,Image22_A.png,Image22_B.png,D10,C
De_noite ela contou o_dinheiro antes_de comprar o_vestido.,Image07_A.png,Image07_B.png,7AMSC,C
Assim_que ela escreveu o_recado ela bateu a_porta.,Image23_B.png,Image23_A.png,D11,C
Hoje ela chamou a_polícia antes_de lavar a_camisa.,Image08_A.png,Image02_A.png,8AMSU,C
Ontem ela foi à_praia então hoje ela passou hidratante.,Image24_A.png,Image24_B.png,D12,C
Quinta-feira antes_de saldar a_dívida ela juntou o_salário.,Image09_B.png,Image09_A.png,9ASMC,C
Ela conferiu o_cardápio e_de_repente ela amassou o_folheto.,Image25_B.png,Image25_A.png,D13,C
Ela escreveu o_artigo e_só_assim ela leu o_livro.,Image26_A.png,Image26_B.png,D14,C
Domingo antes_de pegar a_carteira ela pintou a_parede.,Image04_A.png,Image10_A.png,10ASMU,C
Ela bordou o_short e_em_seguida ela tirou uma_foto.,Image27_B.png,Image27_A.png,D15,C
No_feriado ela guardou o_casaco depois_de abrir o_armário.,Image11_B.png,Image11_A.png,11DMSC,C
Quando ela apontou o_dedo João virou a_cabeça.,Image28_A.png,Image28_B.png,D16,C
Sábado ela cortou o_cabelo depois_de rasgar o_plástico.,Image06_A.png,Image12_A.png,12DMSU,C
Assim_que ela estendeu a_roupa ela puxou o_varal.,Image29_B.png,Image29_A.png,D17,C
Ontem ela imprimiu a_foto então hoje ela montou um_mural.,Image30_A.png,Image30_B.png,D18,C
Ela assistiu ao_filme e_de_repente João começou a_tocar violão.,Image13_B.png,Image13_A.png,D1,D
Ela sentou no_sofá e_só_assim ela conseguiu dormir.,Image14_A.png,Image14_B.png,D2,D
Sábado antes_de tomar o_sorvete ela comprou o_vestido.,Image01_B.png,Image07_B.png,1ASMU,D
Ela enviou mensagem para_João e_em_seguida ela chamou o_Uber.,Image15_B.png,Image15_A.png,D3,D
Domingo ela fechou a_torneira depois_de lavar a_camisa.,Image02_B.png,Image02_A.png,2DMSC,D
Quando ela bateu no_portão o_João se_assustou.,Image16_A.png,Image16_B.png,D4,D
No_feriado ela ouviu a_música depois_de saldar a_dívida.,Image03_B.png,Image09_B.png,3DMSU,D
Assim_que ela amarrou a_chuteira ela chutou a_bola.,Image17_B.png,Image17_A.png,D5,D
Ontem ela assou o_pão então_hoje ela fez_sopa.,Image18_A.png,Image18_B.png,D6,D
Sexta-feira depois_de pegar a_carteira ela pagou o_produto.,Image04_A.png,Image04_B.png,4DSMC,D
Ela ligou o_chuveiro e_de_repente João tocou a_campainha.,Image19_B.png,Image19_A.png,D7,D
Semana_passada depois_de guardar o_casaco ela varreu o_tapete.,Image11_B.png,Image05_B.png,5DSMU,D
Ela esquentou o_lanche e_só_assim João arrumou a_mesa.,Image20_A.png,Image20_B.png,D8,D
Terça-feira ela cortou o_cabelo antes_de passar o_secador.,Image06_A.png,Image06_B.png,6AMSC,D
Ela organizou a_estante e_em_seguida descansou na_cama.,Image21_B.png,Image21_A.png,D9,D
Quando ela bebeu_refrigerante ela colocou a_lata no_lixo.,Image22_A.png,Image22_B.png,D10,D
De_noite ela contou o_dinheiro antes_de comer a_comida.,Image07_A.png,Image01_A.png,7AMSU,D
Assim_que ela escreveu o_recado ela bateu a_porta.,Image23_B.png,Image23_A.png,D11,D
Hoje antes_de expor o_delito ela chamou a_polícia.,Image08_B.png,Image08_A.png,8ASMC,D
Ontem ela foi à_praia então_hoje ela passou hidratante.,Image24_A.png,Image24_B.png,D12,D
Quinta-feira antes_de ligar o_celular ela juntou o_salário.,Image09_A.png,Image03_A.png,9ASMU,D
Ela conferiu o_cardápio e_de_repente ela amassou o_guardanapo.,Image25_B.png,Image25_A.png,D13,D
Ela escreveu o_artigo e_só_assim ela leu o_livro.,Image26_A.png,Image26_B.png,D14,D
Domingo ela sujou a_janela depois_de pintar a_parede.,Image10_B.png,Image10_A.png,10DMSC,D
Ela bordou o_short e_em_seguida ela tirou uma_foto.,Image27_B.png,Image27_A.png,D15,D
No_feriado ela quebrou a_travessa depois_de abrir o_armário.,Image05_A.png,Image11_A.png,11DMSU,D
Quando ela apontou o_dedo João virou a_cabeça.,Image28_A.png,Image28_B.png,D16,D
Sábado depois_de rasgar o_plástico ela olhou o_presente.,Image12_A.png,Image12_B.png,12DSMC,D
Assim_que ela estendeu a_roupa ela puxou o_varal.,Image29_B.png,Image29_A.png,D17,D
Ontem ela imprimiu a_foto então_hoje ela montou um_mural.,Image30_A.png,Image30_B.png,D18,D
